id,over_due_1,over_due_2,over_due_3,over_due_total,pay_normal,prod_code,prod_limit,update_date,current_balance,highest_balance,last_payment_date
58987402,0,0,0,0,1,10,16500,4/12/16,0,,
58995151,0,0,0,0,1,5,,4/12/16,588720,491100,
58997200,0,0,0,0,2,5,,4/12/16,840000,700500,22/4/16
54988608,0,0,0,0,3,10,37400,3/12/16,8425.2,7520,25/4/16
54987763,0,0,0,0,2,10,,3/12/16,15147.6,,26/4/16
59004828,0,0,0,0,3,10,88000,2/12/16,3196.8,6193,15/4/16
58994429,0,0,0,0,2,10,16500,2/12/16,3252,3210,
54987756,0,0,0,0,2,1,,2/12/16,365331.6,304943,
58988028,0,0,0,0,4,0,,2/12/16,16795.2,28500,19/4/16
58993180,0,0,0,0,3,6,,2/12/16,26688,31300,20/3/16
58996551,0,0,0,0,4,10,,2/12/16,7957.2,9411,20/4/16
54991742,0,0,0,0,4,6,,2/12/16,60572.4,65401,19/4/16
58991324,0,0,0,0,1,5,,2/12/16,118800,99500,
58993672,0,0,0,0,3,10,16500,1/12/16,3487.2,3406,15/2/16
59004333,0,0,0,0,4,10,,1/12/16,39613.2,,30/4/16
54991294,0,0,0,0,1,0,,4/11/16,2617.2,2681,
58997200,0,0,0,0,1,5,,4/11/16,365629.2,310500,5/1/16
54987489,0,0,0,0,1,10,,4/11/16,0,,
54991492,0,0,0,0,1,0,,4/11/16,28156.8,35700,
59005881,0,0,0,0,2,13,,4/11/16,44400,37500,
54991294,0,0,0,0,1,0,,4/11/16,48000,40500,
58994986,0,0,0,0,1,10,51700,3/11/16,1352.4,,
59001751,0,0,0,0,2,10,108900,2/11/16,6094.8,101068,22/3/16
58992344,0,0,0,0,1,10,27500,1/11/16,0,,
54987871,0,0,0,0,5,5,,1/11/16,204909.6,180500,22/4/16
58991158,0,0,0,0,2,0,,1/11/16,17556,21400,
59001138,0,0,0,0,2,0,,1/11/16,24000,30500,
59004654,0,0,0,0,1,10,129800,5/10/16,17748,15290,
59003954,0,0,0,0,1,5,,4/10/16,355164,295500,
58987402,0,0,0,0,1,0,,4/10/16,42000,35500,
58996773,0,0,0,0,2,1,,4/10/16,137853.6,115378,
58994744,0,0,0,0,2,10,105600,3/10/16,1.2,3766,4/12/16
54992094,0,0,0,0,2,6,,3/10/16,25182,21485,
58986751,0,0,0,0,1,5,,2/10/16,60000,50500,
58987276,0,0,0,0,3,7,,2/10/16,540000,460500,19/3/16
59005254,0,0,0,0,5,10,,1/10/16,2496,19187,16/5/16
54991896,0,0,0,0,1,6,,5/9/16,21600,27500,
54988051,0,0,0,0,1,10,116600,4/9/16,32210.4,27341,
58988092,0,0,0,0,2,5,,4/9/16,180000,150500,
58995877,0,0,0,0,2,0,,4/9/16,14616,17900,
58995877,0,0,0,0,2,0,,4/9/16,1798.8,1999,
54988154,0,0,0,0,1,10,,4/9/16,25921.2,22101,
58994035,0,0,0,0,1,10,57200,3/9/16,15753.6,13627,
58993990,0,0,0,0,1,24,,3/9/16,360000,300500,
58994019,0,0,0,0,2,0,,3/9/16,21831.6,26490,
54992357,0,0,0,0,3,10,104500,2/9/16,92110.8,77258,5/4/16
54984524,0,0,0,0,2,10,100100,2/9/16,70514.4,59262,
59001175,0,0,0,0,1,10,63800,2/9/16,2050.8,2208,
58994856,0,0,0,0,3,10,58300,2/9/16,13995.6,53414,20/4/16
54992357,0,0,0,0,3,10,,2/9/16,0,15046,3/11/16
59005571,0,0,0,0,4,10,,2/9/16,14786.4,22327,5/8/16
58982387,0,0,0,0,2,10,110000,1/9/16,26428.8,27303,
